%cylinders, displacement, horsepower, <weight, >acceltn, model, origin, >mpg	3
6,198:225,98:105,3613,16.5,74:74,1,20
6,250:267,98:105,3336,17,74:74,1,20
4,96:97,74:82,2300,14.5,74:74,2,30
4,68:85,66:69,2000,16,74:74,2,30
8,340:360,142:150,4699,14.5,74:74,1,10
4,68:85,66:69,1963,15.5,74:74,2,30
4,115:122,74:82,2451,16.5,74:74,1,30
6,198:225,92:97,3102,16.5,74:74,1,20
4,85:91,74:82,2108,15.5,74:74,2,20
4,68:85,46:65,2003,19,74:74,3,30
4,115:122,74:82,2246,14,74:74,2,30
4,97.5:101,83:86,2219,16.5,74:74,2,30
4,68:85,46:65,1649,16.5,74:74,3,30
4,104:114,92:97,2391,15.5,74:74,3,30
4,68:85,46:65,1836,21,74:74,3,30
4,115:122,92:97,2489,15,74:74,3,20
4,85:91,69:72,2223,16.5,75:75,2,30
6,250:267,98:105,3897,18.5,75:75,1,20
6,198:225,92:97,3264,16,75:75,1,20
6,250:267,98:105,3459,16,75:75,1,20
6,225:232,90:91,3211,17,75:75,1,20
6,225:232,98:105,2914,16,75:75,1,20
4,115:122,92:97,2694,15,75:75,2,20
6,250:267,69:72,3158,19.5,75:75,1,20
6,250:267,107:116,3730,19,75:75,1,20
4,115:122,92:97,2545,17,75:75,3,20
6,250:267,69:72,3432,21,75:75,1,20
4,96:97,74:82,2171,16,75:75,3,30
4,130:146,92:97,2702,13.5,75:75,3,20
6,151:183,92:97,2984,14.5,75:75,1,20
4,115:122,98:105,2945,14.5,75:75,2,20
8,250:267,107:116,3221,13.5,75:75,1,20
6,225:232,107:116,3039,15,75:75,1,20
6,225:232,92:97,3785,19,75:75,1,20
4,115:122,87:89,2957,17,75:75,2,20
8,340:360,142:150,4440,14,75:75,1,20
8,302:305,120:140,3169,12,75:75,1,10
4,130:146,74:82,2592,18.5,75:75,1,20
8,307:318,150:160,4498,14.5,75:75,1,20
4,115:122,107:116,2671,13.5,75:75,2,30
8,383:455,165:230,4668,11.5,75:75,1,20
4,85:91,69:72,1937,14,75:75,2,30
4,130:146,83:86,2639,17,75:75,1,20
6,225:232,107:116,3907,21,75:75,1,20
4,85:91,46:65,1795,17.5,75:75,3,30
8,340:360,142:150,4657,13.5,75:76,1,10
8,307:318,150:160,4190,13,75:76,1,20
6,198:225,98:105,3651,17.7,75:76,1,20
8,307:318,142:150,3940,13.2,75:76,1,10
8,340:360,150:160,4215,12.8,75:76,1,10
8,340:360,165:230,4380,12.1,75:76,1,20
4,97.5:101,46:65,2164,22.1,75:76,1,20
4,68:85,46:65,2035,22.2,75:76,1,30
4,85:91,46:65,1795,17.4,75:76,3,30
8,307:318,150:160,3755,14,75:76,1,10
8,340:360,142:150,4055,12,75:76,1,10
4,68:85,69:72,1990,17,75:76,3,30
6,250:267,98:105,3353,14.5,75:76,1,20
4,85:91,69:72,1937,14.2,75:76,2,30
4,96:97,69:72,1825,12.2,75:76,2,30
4,115:122,74:82,2220,16.9,75:76,2,30
6,151:183,107:116,2930,15.5,75:76,3,20
6,225:232,98:105,3233,15.4,75:76,1,20
6,151:183,120:140,3820,16.7,75:76,2,20
4,130:146,69:72,2565,13.6,75:76,1,30
8,302:305,120:140,4215,13,75:76,1,20
4,130:146,98:105,3150,15.7,75:76,2,20
8,302:305,120:140,3870,15,75:76,1,10
8,302:305,120:140,3962,13.9,75:76,1,20
6,250:267,107:116,3645,16.2,75:76,1,20
6,198:225,74:82,3012,17.6,75:76,1,20
6,250:267,74:82,3574,21,75:76,1,20
4,115:122,87:89,3270,21.9,75:76,2,20
4,96:97,74:82,2155,16.4,75:76,3,30
4,130:146,92:97,2572,14.9,75:76,1,30
4,104:114,83:86,2464,15.5,75:76,2,30
6,225:232,90:91,3085,17.6,75:76,1,20
4,97.5:101,74:82,2255,17.7,75:76,1,30
6,250:267,92:97,3193,17.8,75:76,1,20
4,97.5:101,83:86,2202,15.3,75:76,2,30
4,96:97,74:82,1940,14.5,77:77,2,30
6,198:225,98:105,3630,17.7,77:77,1,20
4,96:97,74:82,2190,14.1,77:77,2,30
4,85:91,69:72,1945,16.8,77:77,3,30
4,97.5:101,66:69,2045,18.5,77:77,3,30
4,96:97,74:82,2265,18.2,77:77,3,30
4,104:114,74:82,2155,14.8,77:77,1,30
8,340:360,142:150,4335,14.5,77:77,1,20
8,307:318,142:150,4140,13.7,77:77,1,20
8,302:305,142:150,3880,12.5,77:77,1,20
8,302:305,120:140,4295,14.9,77:77,1,20
6,225:232,98:105,3425,16.9,77:77,1,20
4,115:122,107:116,2600,12.8,77:77,2,20
3,68:85,107:116,2720,13.5,77:77,3,20
4,115:122,92:97,2300,15.5,77:77,1,30
4,96:97,66:69,1985,16.4,77:77,3,30
6,130:146,92:97,2815,14.5,77:77,3,20
4,68:85,46:65,1825,18.6,77:77,2,40
8,250:267,107:116,4060,19,77:77,1,20
4,97.5:101,83:86,2075,15.9,77:77,1,30
4,151:183,87:89,2740,16,77:77,1,20
4,130:146,87:89,2755,15.8,77:77,1,30
8,383:455,165:230,4325,12.2,77:77,1,20
8,383:455,165:230,4220,11.1,77:77,1,20
6,250:267,98:105,3525,19,77:77,1,20
8,340:360,165:230,4165,11.4,77:77,1,20
6,250:267,107:116,3520,16.4,77:77,1,20
4,97.5:101,46:65,2051,17,77:77,1,30
6,198:225,92:97,3155,18.2,78:78,1,20
4,130:146,87:89,2720,15.4,78:78,1,30
6,151:183,120:140,3140,13.6,78:78,2,20
6,250:267,120:140,3410,15.1,78:78,1,20
4,115:122,107:116,2795,15.7,78:78,2,20
6,151:183,120:140,3410,15.8,78:78,2,20
4,97.5:101,66:69,2135,16.6,78:78,3,30
8,302:305,120:140,3570,12.8,78:78,1,20
6,198:225,83:86,3070,16.7,78:78,1,20
6,225:232,165:230,3445,13.4,78:78,1,20
4,97.5:101,66:69,1800,14.4,78:78,1,40
4,85:91,46:65,1800,16.4,78:78,3,40
4,85:91,46:65,1985,21.5,78:78,2,40
4,68:85,46:65,1985,19.4,78:78,3,30
8,302:305,120:140,3205,11.2,78:78,1,20
4,151:183,83:86,2855,17.6,78:78,1,20
4,97.5:101,66:69,2155,16.5,78:78,1,30
8,307:318,120:140,3735,13.2,78:78,1,20
6,198:225,83:86,2965,15.8,78:78,1,20
8,307:318,120:140,4080,13.7,78:78,1,20
6,225:232,107:116,3620,18.7,78:78,1,20
8,302:305,142:150,3425,13.2,78:78,1,20
4,130:146,92:97,2515,14.8,78:78,3,20
4,85:91,69:72,2070,18.6,78:78,3,40
6,225:232,98:105,3380,15.8,78:78,1,20
6,225:232,98:105,3535,19.2,78:78,1,20
4,115:122,92:97,2405,14.9,78:78,3,20
6,198:225,98:105,3430,17.2,78:78,1,20
6,225:232,90:91,3210,17.2,78:78,1,20
5,130:146,98:105,2830,15.9,78:78,2,20
4,115:122,92:97,2300,14.7,78:78,3,30
4,104:114,74:82,2230,14.5,78:78,1,30
4,151:183,98:105,2745,16.7,78:78,1,20
4,85:91,69:72,1990,14.9,78:78,2,30
4,130:146,92:97,2560,14.2,78:78,3,30
8,250:267,107:116,3365,15.5,78:78,1,20
8,340:360,120:140,3955,13.2,79:79,1,20
8,340:360,150:160,4360,14.9,79:79,1,20
4,104:114,69:72,2200,13.2,79:79,1,30
8,307:318,120:140,3830,15.2,79:79,1,20
8,250:267,90:91,3420,22.2,79:79,1,20
6,198:225,107:116,3360,16.6,79:79,1,20
8,302:305,120:140,3725,13.4,79:79,1,20
4,130:146,87:89,2890,17.3,79:79,1,20
6,198:225,83:86,2990,18.2,79:79,1,20
8,340:360,142:150,4054,14.3,79:79,1,20
6,225:232,90:91,3265,18.2,79:79,1,20
4,85:91,69:72,1925,14,79:79,2,30
4,85:91,66:69,2130,14.7,79:79,2,40
4,104:114,69:72,2150,14.9,79:79,1,30
4,115:122,74:82,2670,15,79:79,1,30
8,340:360,142:150,3940,13,79:79,1,20
8,302:305,120:140,3840,15.4,79:79,1,20
4,130:146,69:72,3190,24.8,79:79,2,30
6,151:183,107:116,2700,12.9,79:79,1,30
6,225:232,107:116,3245,15.4,79:79,1,20
5,151:183,74:82,3530,20.1,79:79,2,30
8,340:360,120:140,3900,17.4,79:79,1,20
4,85:91,46:65,1975,15.2,79:79,3,30
4,151:183,90:91,2556,13.2,79:79,1,30
6,151:183,107:116,2595,11.3,79:79,1,30
4,151:183,90:91,2670,16,79:79,1,30
4,97.5:101,74:82,1915,14.4,79:79,1,40
4,85:91,46:65,2020,19.2,79:79,3,30
8,250:267,120:140,3605,15,79:79,1,20
4,85:91,46:65,2110,17.9,80:80,3,50
4,130:146,90:91,2711,15.5,80:80,3,30
4,130:146,66:69,3250,21.8,80:80,2,30
4,85:91,46:65,2019,16.4,80:80,3,40
3,68:85,98:105,2420,12.5,80:80,3,20
5,115:122,66:69,2950,19.9,80:80,2,40
4,85:91,46:65,2110,19.2,80:80,3,40
4,115:122,92:97,2434,15,80:80,3,40
4,104:114,69:72,2290,17,80:80,3,30
6,198:225,90:91,3381,18.7,80:80,1,20
4,85:91,66:69,1850,13.8,80:80,3,40
6,151:183,120:140,2910,11.4,80:80,3,30
4,115:122,87:89,2500,15.1,80:80,2,40
4,104:114,74:82,2265,15.2,80:80,3,30
4,130:146,87:89,2870,18.1,80:80,1,30
4,85:91,46:65,1968,18.8,80:80,3,40
4,130:146,?,2905,14.3,80:80,1,20
4,97.5:101,69:72,2120,15.5,80:80,1,30
4,96:97,74:82,2188,15.8,80:80,2,30
4,97.5:101,74:82,2144,14.7,80:80,2,40
4,115:122,74:82,2542,17.5,80:80,3,30
4,151:183,90:91,2678,16.5,80:80,1,30
4,85:91,46:65,2335,23.7,80:80,2,40
4,85:91,46:65,2085,21.7,80:80,2,40
4,151:183,98:105,2800,14.4,80:80,1,30
4,96:97,66:69,2145,18,80:80,3,30
4,85:91,46:65,1845,15.3,80:80,2,30
4,85:91,?,1835,17.3,80:80,2,40
4,151:183,90:91,3003,20.1,80:80,1,20
4,104:114,74:82,2350,16.8,81:81,3,30
4,85:91,46:65,1975,19.4,81:81,3,40
4,68:85,46:65,1760,16.1,81:81,3,40
4,104:114,46:65,2215,14.9,81:81,1,30
4,85:91,46:65,1875,16.4,81:81,1,40
4,97.5:101,?,2320,15.8,81:81,2,30
4,130:146,83:86,2385,12.9,81:81,1,30
4,85:91,46:65,2050,17.3,81:81,3,40
4,97.5:101,46:65,2045,16.2,81:81,1,30
4,151:183,83:86,2635,16.4,81:81,1,30
4,68:85,46:65,1755,16.9,81:81,3,40
4,130:146,83:86,2490,15.7,81:81,1,30
4,97.5:101,46:65,2380,20.7,81:81,1,30
4,115:122,74:82,2635,18.3,81:81,3,30
4,104:114,74:82,2190,14.2,81:81,2,30
4,115:122,98:105,2615,14.8,81:81,3,30
6,198:225,87:89,3060,17.1,81:81,1,20
6,225:232,107:116,3415,15.8,81:81,1,20
6,151:183,107:116,2900,12.6,81:81,3,30
4,130:146,74:82,3230,20.4,81:81,2,30
4,85:91,66:69,1985,16,81:81,3,30
8,340:360,98:105,3725,19,81:81,1,30
6,130:146,120:140,2930,13.8,81:81,3,20
4,104:114,74:82,2210,14.4,81:81,3,30
4,96:97,66:69,2065,17.8,81:81,3,30
4,151:183,92:97,2620,14.4,81:81,1,30
6,225:232,83:86,3465,16.6,81:81,1,20
6,151:183,107:116,2725,12.6,81:81,1,20
6,130:146,74:82,3160,19.6,81:81,2,30
4,104:114,74:82,1980,15.3,82:82,2,40
4,104:114,87:89,2640,18.6,82:82,1,30
4,130:146,92:97,2665,13.9,82:82,3,30
4,151:183,90:91,2950,17.3,82:82,1,30
4,104:114,87:89,2605,19.6,82:82,1,30
4,115:122,87:89,2160,14.5,82:82,3,40
6,151:183,107:116,2945,16.4,82:82,1,30
4,130:146,83:86,2525,16,82:82,1,30
4,115:122,74:82,2720,19.4,82:82,1,30
6,225:232,107:116,2835,14.7,82:82,1,20
4,96:97,46:65,2130,24.6,82:82,2,40
4,104:114,87:89,2395,18,82:82,1,30
4,97.5:101,69:72,2125,17.3,82:82,1,40
4,130:146,83:86,2370,13,82:82,1,40
6,250:267,83:86,3015,17,82:82,1,40
4,104:114,83:86,2575,16.2,82:82,1,30
4,130:146,83:86,2790,15.6,82:82,1,30
4,151:183,92:97,2585,14.5,82:82,1,30
4,130:146,92:97,2865,16.4,82:82,1,20
4,85:91,66:69,1965,15.7,82:82,3,30
4,85:91,66:69,1965,15,82:82,3,40
4,104:114,69:72,2245,16.9,82:82,3,30
4,104:114,74:82,2205,14.5,82:82,3,40
4,130:146,83:86,2295,11.6,82:82,1,30
4,104:114,46:65,2125,14.7,82:82,1,40
4,151:183,90:91,2735,18,82:82,1,30
4,85:91,66:69,1970,17.6,82:82,3,30
4,115:122,74:82,2625,18.6,82:82,1,30
4,151:183,?,3035,20.5,82:82,1,20
4,85:91,66:69,2025,18.2,82:82,3,40
4,85:91,66:69,1995,16.2,82:82,3,40
-- warning, rogue local [rows]
